Date,Mean Temp,max Temp,Min temp,Heating Degree Days,Dew Point,Average Humidity,Max Humidity,Minimum Humidity,Sea Level Pressure,Average Wind Speed,Maximum Wind Speed,Visibility,Event,Precipitation
07-02-2005,67,78,56,N/A,56,63,88,35,29.93,5,9,2.3,Rain Thunderstorm,0
,,,,,,,,,,,,,,
08-02-2005,68,76,59,N/A,59,73,100,49,30.05,5,12,2.5,Rain Thunderstorm,0
,,,,,,,,,,,,,,
09-02-2005,65,74,56,N/A,61,85,100,65,30.11,5,12,1.3,Fog,0
,,,,,,,,,,,,,,
10-02-2005,68,74,61,N/A,58,72,94,49,30.1,7,15,1.3,Rain,0
,,,,,,,,,,,,,,
11-02-2005,68,75,60,N/A,53,61,82,32,30.07,7,12,2.2,,0
,,,,,,,,,,,,,,
12-02-2005,71,84,58,N/A,55,57,86,20,30.03,2,14,2.5,,0
,,,,,,,,,,,,,,
13-02-2005,72,80,64,N/A,48,43,77,13,30.03,5,12,2.8,,0
,,,,,,,,,,,,,,
14-02-2005,70,81,58,N/A,48,45,77,17,29.91,3,9,3,,0
,,,,,,,,,,,,,,
15-02-2005,68,78,57,N/A,55,58,88,23,29.76,7,17,2.2,,0
,,,,,,,,,,,,,,
16-02-2005,64,76,53,N/A,33,27,58,8,29.79,5,13,2.1,,0
,,,,,,,,,,,,,,
17-02-2005,68,79,56,N/A,39,35,55,12,29.78,6,12,2,,0
,,,,,,,,,,,,,,
18-02-2005,61,75,47,4,32,33,77,8,29.83,7,18,2.1,Fog,0
,,,,,,,,,,,,,,
19-02-2005,57,70,44,8,24,24,41,7,29.94,6,15,2.4,,0
,,,,,,,,,,,,,,
20-02-2005,56,66,47,8,30,34,76,9,30.06,6,12,3,,0
,,,,,,,,,,,,,,
21-02-2005,58,70,46,7,32,36,66,11,30.07,5,12,2.8,,0
,,,,,,,,,,,,,,
22-02-2005,54,68,41,10,35,47,87,13,30.08,5,17,2.6,,0
,,,,,,,,,,,,,,
23-02-2005,58,74,42,7,36,38,66,13,30.08,2,7,2.7,,0
,,,,,,,,,,,,,,
24-02-2005,63,78,48,2,40,42,82,12,30.03,3,8,2.5,,0
,,,,,,,,,,,,,,
25-02-2005,65,80,50,N/A,42,36,67,14,30.02,3,12,2.7,,0
,,,,,,,,,,,,,,
26-02-2005,68,83,52,N/A,47,45,88,16,30.01,2,12,2.6,,0
,,,,,,,,,,,,,,
27-02-2005,70,86,55,N/A,50,44,77,20,29.96,2,8,2.9,,0
,,,,,,,,,,,,,,
28-02-2005,75,87,63,N/A,53,45,68,24,29.94,5,16,2.7,,0
,,,,,,,,,,,,,,
01-03-2005,76,88,63,N/A,56,50,73,28,29.93,7,14,2.3,,0
,,,,,,,,,,,,,,
02-03-2005,76,86,65,N/A,55,47,73,27,30,5,12,2.8,,0
,,,,,,,,,,,,,,
03-03-2005,78,90,66,N/A,57,48,68,24,29.96,5,10,2.8,Thunderstorm,0
,,,,,,,,,,,,,,
04-03-2005,77,89,65,N/A,61,59,78,24,29.96,4,12,2,Thunderstorm,0
,,,,,,,,,,,,,,
05-03-2005,72,83,62,N/A,60,61,88,38,30.04,6,12,3.1,,0
,,,,,,,,,,,,,,
06-03-2005,76,85,66,N/A,60,59,78,33,30,5,12,2.1,,0
,,,,,,,,,,,,,,
07-03-2005,74,83,66,N/A,61,61,85,34,29.98,5,12,1.8,Thunderstorm,0
,,,,,,,,,,,,,,
08-03-2005,75,86,64,N/A,59,52,83,23,29.99,5,10,2.1,Fog,0
,,,,,,,,,,,,,,
09-03-2005,72,80,63,N/A,60,68,94,36,29.95,5,23,2,Rain Thunderstorm,0.03
,,,,,,,,,,,,,,
10-03-2005,68,80,57,N/A,56,62,94,23,29.97,4,14,1.9,Fog,0
,,,,,,,,,,,,,,
11-03-2005,66,77,56,N/A,55,64,88,32,29.94,5,16,2,,0
,,,,,,,,,,,,,,
12-03-2005,68,82,54,N/A,54,58,94,27,29.98,2,6,2.5,,0
,,,,,,,,,,,,,,
13-03-2005,73,87,59,N/A,53,48,82,17,29.98,3,9,2.7,,0
,,,,,,,,,,,,,,
14-03-2005,78,91,64,N/A,50,36,68,12,29.94,4,12,2.9,,0
,,,,,,,,,,,,,,
15-03-2005,80,95,65,N/A,51,40,78,7,29.86,4,12,2.8,,0
,,,,,,,,,,,,,,
16-03-2005,82,97,66,N/A,50,33,68,8,29.85,2,9,2.6,Rain,0
,,,,,,,,,,,,,,
17-03-2005,82,97,67,N/A,52,33,57,10,29.87,1,7,2.3,,0
,,,,,,,,,,,,,,
18-03-2005,80,96,65,N/A,49,33,83,6,29.83,2,9,2.5,,0
,,,,,,,,,,,,,,
19-03-2005,80,96,63,N/A,50,35,62,12,29.81,4,9,2.5,,0
,,,,,,,,,,,,,,
20-03-2005,79,92,66,N/A,59,43,68,25,29.8,6,62,2.3,,0
,,,,,,,,,,,,,,
21-03-2005,81,96,66,N/A,52,36,73,7,29.71,6,18,2.5,,0
,,,,,,,,,,,,,,
22-03-2005,76,86,66,N/A,51,43,83,11,29.75,6,18,2.4,,0
,,,,,,,,,,,,,,
23-03-2005,76,89,62,N/A,46,32,64,12,29.72,5,17,2.5,,0
,,,,,,,,,,,,,,
24-03-2005,74,87,60,N/A,47,37,72,11,29.81,7,17,2.9,,0
,,,,,,,,,,,,,,
25-03-2005,75,90,60,N/A,46,34,72,10,29.86,6,83,2.5,,0
,,,,,,,,,,,,,,
26-03-2005,80,97,62,N/A,44,27,52,7,29.8,5,18,2.7,,0
,,,,,,,,,,,,,,
27-03-2005,84,94,73,N/A,51,28,47,12,29.75,5,14,2.6,,0
,,,,,,,,,,,,,,
28-03-2005,84,94,74,N/A,47,28,57,7,29.78,5,12,3,,0
,,,,,,,,,,,,,,
29-03-2005,78,93,64,N/A,43,22,46,10,29.78,4,14,2.7,,0
,,,,,,,,,,,,,,
30-03-2005,82,91,73,N/A,40,21,41,8,29.81,6,12,3.2,,0
,,,,,,,,,,,,,,
31-03-2005,76,88,63,N/A,38,23,49,4,29.86,6,14,2.9,,0
,,,,,,,,,,,,,,
01-04-2005,75,91,59,N/A,36,21,59,5,29.84,5,12,3.4,,0
,,,,,,,,,,,,,,
02-04-2005,77,95,59,N/A,39,23,55,6,29.88,2,6,3,,0
,,,,,,,,,,,,,,
03-04-2005,79,97,61,N/A,40,21,46,4,29.9,3,12,2.8,,0
,,,,,,,,,,,,,,
04-04-2005,80,98,61,N/A,42,22,56,6,29.88,2,7,3.1,,0
,,,,,,,,,,,,,,
05-04-2005,84,101,66,N/A,42,22,56,6,29.85,5,9,3,,0
,,,,,,,,,,,,,,
06-04-2005,85,104,66,N/A,41,18,43,4,29.72,3,15,2.1,,0
,,,,,,,,,,,,,,
07-04-2005,88,102,74,N/A,37,15,26,4,29.62,10,25,1.7,,0
,,,,,,,,,,,,,,
08-04-2005,81,94,68,N/A,33,13,31,4,29.72,7,16,1.1,,0
,,,,,,,,,,,,,,
09-04-2005,76,89,62,N/A,23,11,32,4,29.8,5,21,1.9,,0
,,,,,,,,,,,,,,
10-04-2005,72,86,59,N/A,29,14,32,5,29.88,5,13,2.1,,0
,,,,,,,,,,,,,,
11-04-2005,68,87,50,N/A,31,19,71,4,29.95,6,13,2.6,,0
,,,,,,,,,,,,,,
12-04-2005,77,91,63,N/A,34,17,35,5,29.93,4,12,2.3,,0
,,,,,,,,,,,,,,
13-04-2005,80,97,63,N/A,41,22,43,4,29.91,3,8,2.7,,0
,,,,,,,,,,,,,,
14-04-2005,84,101,67,N/A,43,22,43,5,29.87,4,12,2.9,,0
,,,,,,,,,,,,,,
15-04-2005,84,100,69,N/A,39,16,33,4,29.84,5,14,2.5,,0
,,,,,,,,,,,,,,
16-04-2005,90,100,79,N/A,40,15,28,5,29.86,6,12,2.4,,0
,,,,,,,,,,,,,,
17-04-2005,84,98,70,N/A,41,17,32,6,29.88,5,12,3.2,,0
,,,,,,,,,,,,,,
18-04-2005,85,100,70,N/A,42,20,43,5,29.86,6,116,2.9,,0
,,,,,,,,,,,,,,
19-04-2005,86,103,68,N/A,43,22,49,5,29.88,4,12,2.9,,0
,,,,,,,,,,,,,,
20-04-2005,90,104,75,N/A,43,18,34,6,29.87,4,9,2.8,,0
,,,,,,,,,,,,,,
21-04-2005,90,106,75,N/A,46,21,44,6,29.81,4,9,2.6,,0
,,,,,,,,,,,,,,
22-04-2005,90,102,78,N/A,47,19,29,7,29.78,4,9,2.6,,0
,,,,,,,,,,,,,,
23-04-2005,88,100,69,N/A,52,31,68,13,29.83,6,18,1.6,Rain Thunderstorm,0.08
,,,,,,,,,,,,,,
24-04-2005,84,99,70,N/A,55,40,69,9,29.79,7,18,2.6,Thunderstorm,0
,,,,,,,,,,,,,,
25-04-2005,84,100,68,N/A,54,34,61,10,29.78,6,16,2.5,Thunderstorm,0
,,,,,,,,,,,,,,
26-04-2005,86,100,71,N/A,54,30,50,14,29.76,4,9,2.2,,0
,,,,,,,,,,,,,,
27-04-2005,86,99,72,N/A,55,38,61,10,29.71,4,17,1.8,Rain Thunderstorm,0.2
,,,,,,,,,,,,,,
28-04-2005,78,92,65,N/A,61,65,97,30,29.75,6,21,2.2,Rain Thunderstorm,0.67
,,,,,,,,,,,,,,
29-04-2005,74,83,66,N/A,62,64,88,44,29.72,8,29,2.7,Thunderstorm,0
,,,,,,,,,,,,,,
30-04-2005,80,94,66,N/A,62,57,88,19,29.71,3,12,2.6,,0
,,,,,,,,,,,,,,
01-05-2005,82,93,71,N/A,59,43,69,18,29.73,3,9,2.7,,0
,,,,,,,,,,,,,,
02-05-2005,84,97,72,N/A,59,47,78,17,29.73,6,23,2.4,Thunderstorm,0.39
,,,,,,,,,,,,,,
03-05-2005,79,88,70,N/A,60,48,83,25,29.72,7,21,1.9,,0
,,,,,,,,,,,,,,
04-05-2005,81,94,68,N/A,58,45,68,18,29.74,4,12,2.3,Thunderstorm,0
,,,,,,,,,,,,,,
05-05-2005,82,95,70,N/A,57,40,69,14,29.7,4,15,2.7,,0
,,,,,,,,,,,,,,
06-05-2005,86,99,72,N/A,59,41,69,17,29.64,5,20,2.2,Thunderstorm,0
,,,,,,,,,,,,,,
07-05-2005,91,103,79,N/A,55,29,48,8,29.62,8,18,2.4,,0
,,,,,,,,,,,,,,
08-05-2005,94,103,84,N/A,48,23,48,4,29.65,8,21,2.4,,0
,,,,,,,,,,,,,,
09-05-2005,88,100,75,N/A,50,24,36,8,29.68,8,15,2.6,,0
,,,,,,,,,,,,,,
10-05-2005,86,100,72,N/A,44,22,47,4,29.67,6,16,2.7,,0
,,,,,,,,,,,,,,
11-05-2005,86,102,69,N/A,39,19,46,4,29.69,5,14,3.1,,0
,,,,,,,,,,,,,,
12-05-2005,90,104,75,N/A,43,18,32,6,29.69,8,17,3.1,,0
,,,,,,,,,,,,,,
13-05-2005,93,108,78,N/A,44,20,45,4,29.61,8,25,1.9,,0
,,,,,,,,,,,,,,
14-05-2005,90,106,75,N/A,44,21,47,4,29.65,5,12,2.6,,0
,,,,,,,,,,,,,,
15-05-2005,92,105,78,N/A,44,18,37,4,29.65,6,12,2.9,,0
,,,,,,,,,,,,,,
16-05-2005,92,109,75,N/A,48,19,33,5,29.67,6,17,2.7,,0
,,,,,,,,,,,,,,
17-05-2005,96,108,85,N/A,45,16,33,4,29.66,9,17,2.6,,0
,,,,,,,,,,,,,,
18-05-2005,92,104,79,N/A,54,24,35,11,29.67,7,17,2.7,,0
,,,,,,,,,,,,,,
19-05-2005,95,110,80,N/A,55,28,48,5,29.66,5,29,2.9,,0
,,,,,,,,,,,,,,
20-05-2005,94,111,78,N/A,46,18,37,4,29.6,9,23,2.4,,0
,,,,,,,,,,,,,,
21-05-2005,93,109,77,N/A,44,17,30,4,29.63,4,9,1.7,,0
,,,,,,,,,,,,,,
22-05-2005,96,107,84,N/A,54,24,38,9,29.64,5,12,1.7,,0
,,,,,,,,,,,,,,
23-05-2005,94,106,82,N/A,55,20,31,9,29.62,6,16,2,,0
,,,,,,,,,,,,,,
24-05-2005,95,108,82,N/A,53,25,45,9,29.69,5,46,2.9,,0
,,,,,,,,,,,,,,
25-05-2005,93,108,78,N/A,50,23,54,5,29.66,4,10,3,,0
,,,,,,,,,,,,,,
26-05-2005,94,108,81,N/A,46,17,29,6,29.65,5,23,2.3,Thunderstorm,0
,,,,,,,,,,,,,,
27-05-2005,92,106,77,N/A,49,19,37,7,29.7,4,22,2.6,,0
,,,,,,,,,,,,,,
28-05-2005,90,106,75,N/A,44,17,32,5,29.69,4,7,3.3,,0
,,,,,,,,,,,,,,
29-05-2005,92,101,84,N/A,51,22,31,12,29.69,11,53,1.3,,0
,,,,,,,,,,,,,,
30-05-2005,88,102,75,N/A,53,27,51,10,29.72,6,12,2.1,,0
,,,,,,,,,,,,,,
31-05-2005,91,104,78,N/A,44,16,31,4,29.67,5,14,3.1,,0
,,,,,,,,,,,,,,
01-06-2005,92,107,77,N/A,46,17,42,5,29.59,5,18,2.6,,0
,,,,,,,,,,,,,,
02-06-2005,94,108,79,N/A,50,21,48,6,29.54,6,23,2.1,,0
,,,,,,,,,,,,,,
03-06-2005,94,107,81,N/A,56,21,34,9,29.53,7,14,1.9,,0
,,,,,,,,,,,,,,
04-06-2005,98,112,84,N/A,59,27,46,8,29.51,8,21,1.9,,0
,,,,,,,,,,,,,,
05-06-2005,98,111,86,N/A,58,25,39,6,29.5,6,14,2,,0
,,,,,,,,,,,,,,
06-06-2005,98,110,86,N/A,52,19,36,6,29.52,7,32,2.4,,0
,,,,,,,,,,,,,,
07-06-2005,92,105,78,N/A,62,41,61,15,29.57,6,20,1.7,Rain Thunderstorm,0.28
,,,,,,,,,,,,,,
08-06-2005,86,101,72,N/A,60,42,83,14,29.55,4,18,1.9,,0
,,,,,,,,,,,,,,
09-06-2005,90,105,75,N/A,57,29,61,11,29.52,6,15,1.7,,0
,,,,,,,,,,,,,,
10-06-2005,94,107,80,N/A,54,27,48,5,29.57,9,23,0.5,,0
,,,,,,,,,,,,,,
11-06-2005,95,108,82,N/A,57,25,35,9,29.56,8,18,2.1,,0
,,,,,,,,,,,,,,
12-06-2005,90,105,76,N/A,55,26,45,10,29.56,8,20,1.8,,0
,,,,,,,,,,,,,,
13-06-2005,92,104,80,N/A,57,26,42,10,29.6,9,32,1.2,,0
,,,,,,,,,,,,,,
14-06-2005,90,103,77,N/A,61,35,65,14,29.64,9,21,2.4,Rain,0
,,,,,,,,,,,,,,
15-06-2005,92,106,78,N/A,56,29,58,9,29.59,6,17,2.5,,0
,,,,,,,,,,,,,,
16-06-2005,95,107,83,N/A,55,23,36,10,29.55,7,14,2.7,,0
,,,,,,,,,,,,,,
17-06-2005,96,109,83,N/A,54,23,38,8,29.5,10,17,2.7,,0
,,,,,,,,,,,,,,
18-06-2005,96,108,84,N/A,53,21,32,10,29.47,8,15,2.6,,0
,,,,,,,,,,,,,,
19-06-2005,99,111,87,N/A,56,22,38,9,29.45,7,63,2.8,,0
,,,,,,,,,,,,,,
20-06-2005,98,108,87,N/A,61,27,39,10,29.45,4,14,2.6,,0
,,,,,,,,,,,,,,
21-06-2005,100,111,88,N/A,64,32,52,9,29.49,5,20,2.2,,0
,,,,,,,,,,,,,,
22-06-2005,94,106,83,N/A,70,43,66,22,29.54,6,12,3.1,,0
,,,,,,,,,,,,,,
23-06-2005,86,98,73,N/A,71,64,100,30,29.55,7,17,1.6,Rain Thunderstorm,2.17
,,,,,,,,,,,,,,
24-06-2005,86,97,74,N/A,77,69,89,43,29.5,5,14,2.6,,0
,,,,,,,,,,,,,,
25-06-2005,92,101,82,N/A,77,62,79,43,29.46,6,20,2.9,Thunderstorm,0
,,,,,,,,,,,,,,
26-06-2005,85,93,77,N/A,78,74,94,56,29.47,6,39,2.1,Rain Thunderstorm,0
,,,,,,,,,,,,,,
27-06-2005,76,81,71,N/A,74,88,100,42,29.51,4,14,2,Rain Thunderstorm,0.02
,,,,,,,,,,,,,,
28-06-2005,82,90,75,N/A,77,87,100,57,29.48,2,12,1.7,Rain,0.12
,,,,,,,,,,,,,,
29-06-2005,85,93,77,N/A,77,75,94,53,29.46,3,9,2.4,,0
,,,,,,,,,,,,,,
30-06-2005,86,94,79,N/A,77,70,89,47,29.44,6,12,2.6,,0
,,,,,,,,,,,,,,
01-07-2005,88,97,79,N/A,74,59,84,39,29.45,4,15,2.9,,0
,,,,,,,,,,,,,,
02-07-2005,88,95,81,N/A,74,62,89,43,29.48,4,13,2.9,Rain Thunderstorm,0.04
,,,,,,,,,,,,,,
03-07-2005,86,95,76,N/A,75,69,100,41,29.46,6,15,2.4,Rain,0.12
,,,,,,,,,,,,,,
04-07-2005,82,90,74,N/A,74,70,84,52,29.45,7,17,2.5,,0
,,,,,,,,,,,,,,
05-07-2005,82,87,76,N/A,75,81,100,65,29.43,4,14,2.1,Rain Thunderstorm,0.03
,,,,,,,,,,,,,,
06-07-2005,77,85,69,N/A,76,91,100,79,29.47,4,9,2.1,Rain,0.08
,,,,,,,,,,,,,,
07-07-2005,83,92,74,N/A,75,74,100,49,29.5,9,20,2.2,,0
,,,,,,,,,,,,,,
08-07-2005,85,95,75,N/A,75,68,89,39,29.55,6,12,2.5,,0
,,,,,,,,,,,,,,
09-07-2005,86,98,75,N/A,74,62,83,37,29.52,5,14,2.5,,0
,,,,,,,,,,,,,,
10-07-2005,89,99,79,N/A,73,58,79,33,29.53,6,16,2.6,,0
,,,,,,,,,,,,,,
11-07-2005,86,93,79,N/A,75,64,84,43,29.61,7,12,2.5,,0
,,,,,,,,,,,,,,
12-07-2005,82,89,75,N/A,73,68,84,47,29.63,6,12,2.4,,0
,,,,,,,,,,,,,,
13-07-2005,82,88,76,N/A,76,86,100,64,29.62,3,9,1.6,Rain Thunderstorm,1.57
,,,,,,,,,,,,,,
14-07-2005,74,77,72,N/A,75,100,100,98,29.63,1,5,1.1,Rain Thunderstorm,0.2
,,,,,,,,,,,,,,
15-07-2005,78,83,72,N/A,77,93,100,79,29.63,2,7,1.3,,0
,,,,,,,,,,,,,,
16-07-2005,78,83,74,N/A,76,93,100,76,29.62,5,16,1.2,Rain,0.03
,,,,,,,,,,,,,,
17-07-2005,78,82,73,N/A,76,96,100,82,29.61,5,14,1.2,Rain,1.1
,,,,,,,,,,,,,,
18-07-2005,82,91,72,N/A,76,86,100,58,29.64,4,14,1.6,,0
,,,,,,,,,,,,,,
19-07-2005,84,94,75,N/A,74,59,94,44,29.63,8,14,3.8,,0
,,,,,,,,,,,,,,
20-07-2005,84,92,75,N/A,73,69,94,41,29.6,7,16,2.6,,0
,,,,,,,,,,,,,,
21-07-2005,85,92,78,N/A,72,61,81,44,29.56,6,16,2.5,,0
,,,,,,,,,,,,,,
22-07-2005,84,93,76,N/A,72,61,84,41,29.54,8,21,2.7,,0
,,,,,,,,,,,,,,
23-07-2005,86,95,76,N/A,73,62,84,44,29.54,6,14,2.6,,0
,,,,,,,,,,,,,,
24-07-2005,86,96,76,N/A,73,58,74,41,29.52,6,15,2.4,,0
,,,,,,,,,,,,,,
25-07-2005,86,96,77,N/A,76,68,89,40,29.48,3,13,2.1,Rain,0.04
,,,,,,,,,,,,,,
26-07-2005,88,97,78,N/A,77,75,89,47,29.47,4,14,2.2,,0
,,,,,,,,,,,,,,
27-07-2005,84,92,76,N/A,78,75,89,56,29.46,3,9,2.9,,0.04
,,,,,,,,,,,,,,
28-07-2005,83,89,77,N/A,79,86,100,67,29.46,3,12,2.1,,0.16
,,,,,,,,,,,,,,
29-07-2005,83,90,76,N/A,79,88,100,64,29.46,2,5,2,Rain,0.08
,,,,,,,,,,,,,,
30-07-2005,84,91,77,N/A,79,87,94,72,29.47,3,12,1.9,Rain Thunderstorm,0.02
,,,,,,,,,,,,,,
31-07-2005,84,93,76,N/A,78,79,100,59,29.47,1,9,2,,0
,,,,,,,,,,,,,,
01-08-2005,86,94,79,N/A,78,74,94,47,29.42,6,23,2.4,,0
,,,,,,,,,,,,,,
02-08-2005,85,92,78,N/A,78,74,89,57,29.42,5,14,2.3,,0.02
,,,,,,,,,,,,,,
03-08-2005,86,93,78,N/A,78,75,94,53,29.46,4,14,2.6,,0
,,,,,,,,,,,,,,
04-08-2005,86,96,77,N/A,77,71,94,47,29.51,2,7,2.9,,0
,,,,,,,,,,,,,,
05-08-2005,83,87,79,N/A,77,77,87,68,29.5,7,16,2.4,,0
,,,,,,,,,,,,,,
06-08-2005,81,86,76,N/A,75,76,94,61,29.49,9,18,2.2,,0
,,,,,,,,,,,,,,
07-08-2005,80,88,73,N/A,70,62,83,39,29.49,9,16,2.6,,0
,,,,,,,,,,,,,,
08-08-2005,83,92,73,N/A,69,60,86,33,29.6,6,14,2.7,,0
,,,,,,,,,,,,,,
09-08-2005,84,94,73,N/A,70,57,83,33,29.63,8,14,2.8,,0
,,,,,,,,,,,,,,
10-08-2005,85,95,75,N/A,70,61,78,35,29.58,9,16,2.5,,0
,,,,,,,,,,,,,,
11-08-2005,83,94,72,N/A,69,59,83,35,29.57,8,14,2.6,,0
,,,,,,,,,,,,,,
12-08-2005,82,94,71,N/A,70,60,83,40,29.58,6,12,2.6,,0
,,,,,,,,,,,,,,
13-08-2005,86,96,75,N/A,71,57,78,37,29.59,6,12,2.4,,0
,,,,,,,,,,,,,,
14-08-2005,86,96,77,N/A,72,58,79,36,29.57,6,17,2.3,,0
,,,,,,,,,,,,,,
15-08-2005,87,96,78,N/A,71,56,74,36,29.56,7,12,2.6,,0
,,,,,,,,,,,,,,
16-08-2005,86,95,77,N/A,75,72,100,44,29.58,3,14,2.3,Rain Thunderstorm,0.12
,,,,,,,,,,,,,,
17-08-2005,82,90,74,N/A,76,81,94,54,29.6,8,16,2.2,,0
,,,,,,,,,,,,,,
18-08-2005,82,90,74,N/A,74,76,94,48,29.63,8,16,2.5,,0
,,,,,,,,,,,,,,
19-08-2005,84,94,74,N/A,74,68,89,43,29.61,7,14,2.4,,0
,,,,,,,,,,,,,,
20-08-2005,87,99,75,N/A,73,67,94,42,29.59,8,16,2.8,,0
,,,,,,,,,,,,,,
21-08-2005,84,94,74,N/A,72,63,83,40,29.62,9,16,2.8,,0
,,,,,,,,,,,,,,
22-08-2005,84,95,73,N/A,71,61,83,38,29.66,9,85,2.6,,0
,,,,,,,,,,,,,,
23-08-2005,83,94,72,N/A,70,59,83,34,29.67,7,16,2.9,,0
,,,,,,,,,,,,,,
24-08-2005,83,94,72,N/A,68,58,83,28,29.67,10,18,3,,0
,,,,,,,,,,,,,,
25-08-2005,82,94,70,N/A,67,55,83,30,29.68,8,15,2.5,,0
,,,,,,,,,,,,,,
26-08-2005,82,96,69,N/A,68,58,88,32,29.71,7,17,2.9,,0
,,,,,,,,,,,,,,
27-08-2005,84,97,71,N/A,68,55,83,30,29.71,5,14,2.7,,0
,,,,,,,,,,,,,,
28-08-2005,85,98,72,N/A,67,49,74,26,29.71,5,9,2.9,,0
,,,,,,,,,,,,,,
29-08-2005,87,100,74,N/A,65,45,69,20,29.74,6,12,2.6,,0
,,,,,,,,,,,,,,
30-08-2005,88,99,78,N/A,65,43,65,22,29.68,8,16,2.6,,0
,,,,,,,,,,,,,,
31-08-2005,87,98,76,N/A,65,45,65,22,29.65,6,12,2.7,,0
,,,,,,,,,,,,,,
01-09-2005,88,99,76,N/A,63,42,65,22,29.7,7,16,4,,0
,,,,,,,,,,,,,,
02-09-2005,90,103,76,N/A,62,38,58,15,29.72,8,14,3,,0
,,,,,,,,,,,,,,
03-09-2005,92,102,81,N/A,60,33,54,15,29.68,6,13,2.6,,0
,,,,,,,,,,,,,,
04-09-2005,91,103,79,N/A,67,44,66,20,29.63,3,12,2.9,,0
,,,,,,,,,,,,,,
